Class,Role Stereotype,Design Smell,Cause of the Smell
com.eteks.sweethome3d.io.HomeURLContent,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): URLContent
com.eteks.sweethome3d.io.HomeXMLExporter,Service Provider,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Level; Wall in method getId
com.eteks.sweethome3d.io.HomeXMLExporter,Service Provider,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Level; Wall in method getId
com.eteks.sweethome3d.io.HomeXMLExporter,Service Provider,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 51 methods
com.eteks.sweethome3d.io.HomeXMLExporter$PieceOfFurnitureExporter,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.io.HomeXMLExporter$PieceOfFurnitureExporter,Service Provider,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomeFurnitureGroup; HomeDoorOrWindow; HomeLight in method writeAttributes
com.eteks.sweethome3d.io.HomeXMLExporter$PieceOfFurnitureExporter,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ObjectXMLExporter
com.eteks.sweethome3d.io.HomeXMLExporter$PieceOfFurnitureExporter,Service Provider,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomeFurnitureGroup; HomeDoorOrWindow; HomeLight in method writeAttributes
com.eteks.sweethome3d.io.HomeXMLHandler,Controller,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomeFurnitureGroup; HomeLight; HomeDoorOrWindow in method setPieceOfFurnitureAttributes
com.eteks.sweethome3d.io.HomeXMLHandler,Controller,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomeFurnitureGroup; HomeLight; HomeDoorOrWindow in method setPieceOfFurnitureAttributes
com.eteks.sweethome3d.io.HomeXMLHandler,Controller,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 47 methods
com.eteks.sweethome3d.j3d.DAELoader,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.j3d.DAELoader$DAEHandler,Controller,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.j3d.DAELoader$DAEHandler,Controller,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 209
com.eteks.sweethome3d.j3d.HomePieceOfFurniture3D,Service Provider,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomeLight; Light in method updatePieceOfFurnitureModelNode
com.eteks.sweethome3d.j3d.HomePieceOfFurniture3D,Service Provider,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomeLight; Group in method createPieceOfFurnitureNode
com.eteks.sweethome3d.j3d.HomePieceOfFurniture3D,Service Provider,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 34 methods
com.eteks.sweethome3d.j3d.HomePieceOfFurniture3D$LightSelectionListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.j3d.Label3D,Controller,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.j3d.Max3DSLoader,Controller,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.j3d.Max3DSLoader,Controller,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 250
