Class,Role Stereotype,Design Smell,Cause of the Smell
com.eteks.sweethome3d.viewcontroller.HomeController$FurnitureCatalogChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.HomeController$FurnitureCatalogChangeListener,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UserPreferencesChangeListener; CollectionListener
com.eteks.sweethome3d.viewcontroller.HomeController$TexturesCatalogChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.HomeController$TexturesCatalogChangeListener,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UserPreferencesChangeListener; CollectionListener
com.eteks.sweethome3d.viewcontroller.HomeController$UserPreferencesPropertiesChangeListener,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): UserPreferencesChangeListener
com.eteks.sweethome3d.viewcontroller.HomeController$LanguageChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.HomeController$Update,Information Holder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
com.eteks.sweethome3d.viewcontroller.HomeController3D,Coordinator,Feature Envy,The tool detected a instance of this smell because propertyChange is more interested in members of the type: Home
com.eteks.sweethome3d.viewcontroller.HomeController3D,Coordinator,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
com.eteks.sweethome3d.viewcontroller.HomeController3D$TopCameraState,Controller,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Elevatable; HomePieceOfFurniture; Label in method updateAerialViewBoundsFromHomeBounds
com.eteks.sweethome3d.viewcontroller.HomeController3D$TopCameraState,Controller,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Elevatable; HomePieceOfFurniture; Label in method updateAerialViewBoundsFromHomeBounds
com.eteks.sweethome3d.viewcontroller.HomeController3D$UserPreferencesChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.HomeFurnitureController,Controller,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomeLight; HomeFurnitureGroup in method updateProperties
com.eteks.sweethome3d.viewcontroller.HomeFurnitureController,Controller,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomeLight; HomeFurnitureGroup in method updateProperties
com.eteks.sweethome3d.viewcontroller.HomeFurnitureController,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 68 public methods
com.eteks.sweethome3d.viewcontroller.HomeFurnitureController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.HomeFurnitureController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.HomeFurnitureController$FurniturePaint,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.HomeFurnitureController$FurnitureShininess,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.HomeFurnitureController$FurnitureHorizontalAxis,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.HomeView,Interfacer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.viewcontroller.HomeView,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 39 public methods
com.eteks.sweethome3d.viewcontroller.HomeView$ActionType,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.HomeView$SaveAnswer,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.HomeView$OpenDamagedHomeAnswer,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.ImportedFurnitureWizardController,Controller,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WizardController; Controller
com.eteks.sweethome3d.viewcontroller.ImportedFurnitureWizardController,Controller,Multipath Hierarchy,The tool detected the smell in this class because the class inherits another class directly as well as indirectly. The redundant inherited supertype is: Controller
com.eteks.sweethome3d.viewcontroller.ImportedFurnitureWizardController,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 46 public methods
com.eteks.sweethome3d.viewcontroller.ImportedFurnitureWizardController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.ImportedFurnitureWizardController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.ImportedFurnitureWizardController$Step,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.ImportedFurnitureWizardController$Step,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.ImportedFurnitureWizardStepsView,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.viewcontroller.ImportedTextureWizardController,Controller,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): WizardController; Controller
com.eteks.sweethome3d.viewcontroller.ImportedTextureWizardController,Controller,Multipath Hierarchy,The tool detected the smell in this class because the class inherits another class directly as well as indirectly. The redundant inherited supertype is: Controller
com.eteks.sweethome3d.viewcontroller.ImportedTextureWizardController,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
com.eteks.sweethome3d.viewcontroller.ImportedTextureWizardController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.ImportedTextureWizardController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.ImportedTextureWizardController$Step,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.ImportedTextureWizardController$Step,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.LabelController,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
com.eteks.sweethome3d.viewcontroller.LabelController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.LabelController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.LevelController,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
com.eteks.sweethome3d.viewcontroller.LevelController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.LevelController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.LevelController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.LevelController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.ObserverCameraController,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
com.eteks.sweethome3d.viewcontroller.ObserverCameraController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.ObserverCameraController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.ObserverCameraController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.ObserverCameraController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.ObserverCameraController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.ObserverCameraController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.PhotoController$HomeCameraChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.PhotosController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.PhotosController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.PhotosController$HomeStoredCamerasChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.PlanController,Controller,Feature Envy,The tool detected a instance of this smell because doReverseWallsDirection is more interested in members of the type: Wall
com.eteks.sweethome3d.viewcontroller.PlanController,Controller,Feature Envy,The tool detected a instance of this smell because collectionChanged is more interested in members of the type: Home
com.eteks.sweethome3d.viewcontroller.PlanController,Controller,Feature Envy,The tool detected a instance of this smell because startDraggedItems is more interested in members of the type: HomePieceOfFurniture
com.eteks.sweethome3d.viewcontroller.PlanController,Controller,Feature Envy,The tool detected a instance of this smell because doDeleteItems is more interested in members of the type: Home
com.eteks.sweethome3d.viewcontroller.PlanController,Controller,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SELECTION; PANNING; WALL_CREATION; ROOM_CREATION; POLYLINE_CREATION; DIMENSION_LINE_CREATION; LABEL_CREATION; name; SCALE_VISUAL_PROPERTY; PIXEL_MARGIN; INDICATOR_PIXEL_MARGIN; WALL_ENDS_PIXEL_MARGIN; home; preferences; viewFactory; contentManager; undoSupport; propertyChangeSupport; planView; selectionListener; wallChangeListener; furnitureSizeChangeListener; selectionState; rectangleSelectionState; selectionMoveState; panningState; dragAndDropState; wallCreationState; wallDrawingState; wallResizeState; pieceOfFurnitureRotationState; pieceOfFurniturePitchRotationState; pieceOfFurnitureRollRotationState; pieceOfFurnitureElevationState; pieceOfFurnitureHeightState; pieceOfFurnitureResizeState; lightPowerModificationState; pieceOfFurnitureNameOffsetState; pieceOfFurnitureNameRotationState; cameraYawRotationState; cameraPitchRotationState; cameraElevationState; dimensionLineCreationState; dimensionLineDrawingState; dimensionLineResizeState; dimensionLineOffsetState; roomCreationState; roomDrawingState; roomResizeState; roomAreaOffsetState; roomAreaRotationState; roomNameOffsetState; roomNameRotationState; polylineCreationState; polylineDrawingState; polylineResizeState; labelCreationState; labelRotationState; labelElevationState; compassRotationState; compassResizeState; state; previousState; xLastMousePress; yLastMousePress; shiftDownLastMousePress; alignmentActivatedLastMousePress; duplicationActivatedLastMousePress; magnetismToggledLastMousePress; xLastMouseMove; yLastMouseMove; wallsAreaCache; wallsIncludingBaseboardsAreaCache; insideWallsAreaCache; roomPathsCache; furnitureSidesCache; draggedItems; piece; x; y; width; depth; height; doorOrWindowBoundToWall; groupFurnitureX; groupFurnitureY; groupFurnitureWidth; groupFurnitureDepth; groupFurnitureHeight; wall; level; xStart; yStart; xEnd; yEnd; wallAtStart; wallAtEnd; joinedAtEndOfWallAtStart; joinedAtStartOfWallAtEnd; CIRCLE_STEPS_15_DEG; x; y; angle; x; y; magnetized; selectionListener; xLastMouseMove; yLastMouseMove; mouseMoved; oldSelection; movedItems; duplicatedItems; movedPieceOfFurniture; angleMovedPieceOfFurniture; depthMovedPieceOfFurniture; elevationMovedPieceOfFurniture; xMovedPieceOfFurniture; yMovedPieceOfFurniture; movedDoorOrWindowBoundToWall; magnetismEnabled; duplicationActivated; alignmentActivated; basePlanModification; selectedItemsMousePressed; ignoreRectangleSelection; mouseMoved; xLastMouseMove; yLastMouseMove; xLastMouseMove; yLastMouseMove; draggedPieceOfFurniture; xDraggedPieceOfFurniture; yDraggedPieceOfFurniture; angleDraggedPieceOfFurniture; depthDraggedPieceOfFurniture; elevationDraggedPieceOfFurniture; magnetismEnabled; wallLengthToolTipFeedback; wallAngleToolTipFeedback; wallArcExtentToolTipFeedback; wallThicknessToolTipFeedback; xStart; yStart; xLastEnd; yLastEnd; wallStartAtStart; wallEndAtStart; newWall; wallStartAtEnd; wallEndAtEnd; lastWall; oldSelection; oldBasePlanLocked; oldAllLevelsSelection; newWalls; magnetismEnabled; alignmentActivated; roundWall; lastWallCreationTime; wallArcExtent; selectedWall; startPoint; oldX; oldY; deltaXToResizePoint; deltaYToResizePoint; magnetismEnabled; alignmentActivated; STEP_COUNT; magnetismEnabled; alignmentActivated; selectedPiece; angleMousePress; oldAngle; doorOrWindowBoundToWall; rotationToolTipFeedback; selectedPiece; oldPitch; pitchRotationToolTipFeedback; selectedPiece; oldRoll; rollRotationToolTipFeedback; magnetismEnabled; deltaYToElevationPoint; selectedPiece; oldElevation; elevationToolTipFeedback; magnetismEnabled; deltaYToResizePoint; resizedPiece; topLeftPoint; resizePoint; resizeToolTipFeedback; magnetismEnabled; alignmentActivated; deltaXToResizePoint; deltaYToResizePoint; resizedPiece; resizedPieceWidthInPlan; topLeftPoint; widthResizeToolTipFeedback; depthResizeToolTipFeedback; heightResizeToolTipFeedback; deltaXToModificationPoint; selectedLight; oldPower; lightPowerToolTipFeedback; selectedPiece; oldNameXOffset; oldNameYOffset; xLastMouseMove; yLastMouseMove; alignmentActivated; STEP_COUNT; selectedPiece; oldNameAngle; angleMousePress; magnetismEnabled; alignmentActivated; selectedCamera; oldYaw; xLastMouseMove; yLastMouseMove; angleLastMouseMove; rotationToolTipFeedback; selectedCamera; oldPitch; rotationToolTipFeedback; selectedCamera; oldElevation; cameraElevationToolTipFeedback; observerHeightToolTipFeedback; magnetismEnabled; xStart; yStart; editingStartPoint; newDimensionLine; oldSelection; oldBasePlanLocked; oldAllLevelsSelection; magnetismEnabled; alignmentActivated; offsetChoice; selectedDimensionLine; editingStartPoint; oldX; oldY; reversedDimensionLine; deltaXToResizePoint; deltaYToResizePoint; distanceFromResizePointToDimensionBaseLine; magnetismEnabled; alignmentActivated; selectedDimensionLine; oldOffset; deltaXToOffsetPoint; deltaYToOffsetPoint; magnetismEnabled; roomSideLengthToolTipFeedback; roomSideAngleToolTipFeedback; xPreviousPoint; yPreviousPoint; newRoom; newPoint; oldSelection; oldBasePlanLocked; oldAllLevelsSelection; magnetismEnabled; alignmentActivated; lastPointCreationTime; selectedRoom; roomPointIndex; oldX; oldY; deltaXToResizePoint; deltaYToResizePoint; magnetismEnabled; alignmentActivated; selectedRoom; oldNameXOffset; oldNameYOffset; xLastMouseMove; yLastMouseMove; alignmentActivated; STEP_COUNT; selectedRoom; oldNameAngle; angleMousePress; magnetismEnabled; alignmentActivated; selectedRoom; oldAreaXOffset; oldAreaYOffset; xLastMouseMove; yLastMouseMove; alignmentActivated; STEP_COUNT; selectedRoom; oldAreaAngle; angleMousePress; magnetismEnabled; alignmentActivated; polylineSegmentLengthToolTipFeedback; polylineSegmentAngleToolTipFeedback; xPreviousPoint; yPreviousPoint; newPolyline; newPoint; oldSelection; oldBasePlanLocked; oldAllLevelsSelection; magnetismEnabled; alignmentActivated; curvedPolyline; lastPointCreationTime; polylines; selectedPolyline; polylinePointIndex; oldX; oldY; deltaXToResizePoint; deltaYToResizePoint; magnetismEnabled; alignmentActivated; STEP_COUNT; selectedLabel; oldAngle; angleMousePress; magnetismEnabled; alignmentActivated; magnetismEnabled; deltaYToElevationPoint; selectedLabel; oldElevation; elevationToolTipFeedback; selectedCompass; angleMousePress; oldNorthDirection; rotationToolTipFeedback; selectedCompass; oldDiameter; deltaXToResizePoint; deltaYToResizePoint; resizeToolTipFeedback
com.eteks.sweethome3d.viewcontroller.PlanController,Controller,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomePieceOfFurniture; ObserverCamera in method isItemPartOfBasePlan
com.eteks.sweethome3d.viewcontroller.PlanController,Controller,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomePieceOfFurniture; ObserverCamera in method isItemPartOfBasePlan
com.eteks.sweethome3d.viewcontroller.PlanController,Controller,Multipath Hierarchy,The tool detected the smell in this class because the class inherits another class directly as well as indirectly. The redundant inherited supertype is: Controller
com.eteks.sweethome3d.viewcontroller.PlanController,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 207 public methods
com.eteks.sweethome3d.viewcontroller.PlanController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.PlanController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.PlanController$Mode,Information Holder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SELECTION; PANNING; WALL_CREATION; ROOM_CREATION; POLYLINE_CREATION; DIMENSION_LINE_CREATION; LABEL_CREATION; name
com.eteks.sweethome3d.viewcontroller.PlanController$EditableProperty,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.PlanController$ResizedPieceOfFurniture,Information Holder,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomeDoorOrWindow; HomeFurnitureGroup in method ResizedPieceOfFurniture
com.eteks.sweethome3d.viewcontroller.PlanController$ResizedPieceOfFurniture,Information Holder,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomeDoorOrWindow; HomeFurnitureGroup in method ResizedPieceOfFurniture
com.eteks.sweethome3d.viewcontroller.PlanController$WallPointWithAngleMagnetism,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): PointWithAngleMagnetism
com.eteks.sweethome3d.viewcontroller.PlanController$RoomPointWithAngleMagnetism,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): PointWithAngleMagnetism
com.eteks.sweethome3d.viewcontroller.PlanController$ControllerState,Information Holder,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AbstractModeChangeState; SelectionMoveState; RectangleSelectionState; PanningState; DragAndDropState; AbstractWallState; PieceOfFurnitureRotationState; PieceOfFurniturePitchRotationState; PieceOfFurnitureRollRotationState; PieceOfFurnitureElevationState; PieceOfFurnitureHeightState; PieceOfFurnitureResizeState; LightPowerModificationState; PieceOfFurnitureNameOffsetState; PieceOfFurnitureNameRotationState; CameraYawRotationState; CameraPitchRotationState; CameraElevationState; DimensionLineDrawingState; DimensionLineResizeState; DimensionLineOffsetState; AbstractRoomState; RoomNameOffsetState; RoomNameRotationState; RoomAreaOffsetState; RoomAreaRotationState; AbstractPolylineState; LabelRotationState; LabelElevationState; CompassRotationState; CompassResizeState
com.eteks.sweethome3d.viewcontroller.PlanController$SelectionState,Service Provider,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Wall; HomePieceOfFurniture; Room; Polyline; Label; Compass; ObserverCamera in method pressMouse
com.eteks.sweethome3d.viewcontroller.PlanController$SelectionState,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractModeChangeState
com.eteks.sweethome3d.viewcontroller.PlanController$SelectionState,Service Provider,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Wall; HomePieceOfFurniture; Room; Polyline; Label; Compass; ObserverCamera in method pressMouse
com.eteks.sweethome3d.viewcontroller.PlanController$SelectionMoveState,Information Holder,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomeFurnitureGroup; HomePieceOfFurniture; HomeDoorOrWindow in method enter
com.eteks.sweethome3d.viewcontroller.PlanController$SelectionMoveState,Information Holder,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomeFurnitureGroup; HomePieceOfFurniture; HomeDoorOrWindow in method enter
com.eteks.sweethome3d.viewcontroller.PlanController$RectangleSelectionState,Controller,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Camera; HomePieceOfFurniture; HomeFurnitureGroup in method releaseMouse
com.eteks.sweethome3d.viewcontroller.PlanController$RectangleSelectionState,Controller,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Camera; HomePieceOfFurniture; HomeFurnitureGroup in method releaseMouse
com.eteks.sweethome3d.viewcontroller.PlanController$WallCreationState,Information Holder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractModeChangeState
com.eteks.sweethome3d.viewcontroller.PlanController$WallDrawingState,Information Holder,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: updateEditableProperty
com.eteks.sweethome3d.viewcontroller.PlanController$DimensionLineCreationState,Information Holder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractModeChangeState
com.eteks.sweethome3d.viewcontroller.PlanController$DimensionLineDrawingState,Information Holder,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: updateEditableProperty
com.eteks.sweethome3d.viewcontroller.PlanController$RoomCreationState,Information Holder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractModeChangeState
com.eteks.sweethome3d.viewcontroller.PlanController$RoomDrawingState,Information Holder,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: updateEditableProperty
com.eteks.sweethome3d.viewcontroller.PlanController$PolylineCreationState,Information Holder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractModeChangeState
com.eteks.sweethome3d.viewcontroller.PlanController$PolylineDrawingState,Information Holder,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: updateEditableProperty
com.eteks.sweethome3d.viewcontroller.PlanController$LabelCreationState,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractModeChangeState
com.eteks.sweethome3d.viewcontroller.PlanView,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TransferableView; ExportableView
com.eteks.sweethome3d.viewcontroller.PlanView,Service Provider,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
com.eteks.sweethome3d.viewcontroller.PlanView$CursorType,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.PolylineController,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
com.eteks.sweethome3d.viewcontroller.PolylineController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.PolylineController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
