Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sweethome3d-5.6,com.eteks.sweethome3d.j3d,Max3DSLoader,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 250
sweethome3d-5.6,com.eteks.sweethome3d.j3d,ChunkID,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id
sweethome3d-5.6,com.eteks.sweethome3d.j3d,ModelManager,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: WINDOW_PANE_SHAPE_PREFIX; MIRROR_SHAPE_PREFIX; LIGHT_SHAPE_PREFIX; WINDOW_PANE_TRANSPARENCY_ATTRIBUTES; DEFAULT_MATERIAL; MINIMUM_SIZE; ADDITIONAL_LOADER_CLASSES; instance; loadedModelNodes; loadingModelObservers; transformedModelNodeBounds; modelsLoader; additionalLoaderClasses; parsedShapes
sweethome3d-5.6,com.eteks.sweethome3d.j3d,ModelManager,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Group; Content in method computeBounds
sweethome3d-5.6,com.eteks.sweethome3d.j3d,ModelManager,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
sweethome3d-5.6,com.eteks.sweethome3d.j3d,Object3DBranchFactory,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomePieceOfFurniture; Wall; Room; Label in method createObject3D
sweethome3d-5.6,com.eteks.sweethome3d.j3d,Object3DBranchFactory,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomePieceOfFurniture; Wall; Room; Label in method createObject3D
sweethome3d-5.6,com.eteks.sweethome3d.j3d,OBJLoader,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.j3d,OBJLoader,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 136
sweethome3d-5.6,com.eteks.sweethome3d.j3d,Line,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.j3d,Line,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Geometry
sweethome3d-5.6,com.eteks.sweethome3d.j3d,Face,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.j3d,Face,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Geometry
sweethome3d-5.6,com.eteks.sweethome3d.j3d,OBJWriter,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 35 methods
sweethome3d-5.6,com.eteks.sweethome3d.j3d,PhotoRenderer,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ObserverCamera; HomeFurnitureGroup; HomeLight; Wall; Room in method PhotoRenderer
sweethome3d-5.6,com.eteks.sweethome3d.j3d,PhotoRenderer,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ObserverCamera; HomeFurnitureGroup; HomeLight; Wall; Room in method PhotoRenderer
sweethome3d-5.6,com.eteks.sweethome3d.j3d,PhotoRenderer,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 203
sweethome3d-5.6,com.eteks.sweethome3d.j3d,Quality,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sweethome3d-5.6,com.eteks.sweethome3d.j3d,PhotoObject3DFactory,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Room; ObserverCamera in method createObject3D
sweethome3d-5.6,com.eteks.sweethome3d.j3d,PhotoObject3DFactory,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Room; ObserverCamera in method createObject3D
sweethome3d-5.6,com.eteks.sweethome3d.j3d,BufferedImageDisplay,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.j3d,SphereLightWithNoRepresentation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.j3d,Room3D,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.j3d,ComparableTextureAngleTuple,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.j3d,Wall3D,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.j3d,Wall3D,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomeDoorOrWindow; DoorOrWindow in method createWallGeometries
