Class,Role Stereotype,Design Smells
com.eteks.sweethome3d.swing.FurnitureCatalogListPanel,Interfacer,Broken Hierarchy; Cyclically-dependent Modularization; Insufficient Modularization; 
com.eteks.sweethome3d.swing.FurnitureCatalogListPanel$CatalogCellRenderer,Interfacer,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.FurnitureCatalogListPanel$FurnitureCatalogListModel$FurnitureCatalogListener,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.FurnitureCatalogTransferHandler,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.swing.FurnitureCatalogTree,Interfacer,Unutilized Abstraction; Broken Hierarchy; 
com.eteks.sweethome3d.swing.FurnitureCatalogTree$CatalogCellRenderer,Interfacer,Unutilized Abstraction; Missing Hierarchy; 
com.eteks.sweethome3d.swing.FurnitureCatalogTree$CatalogTreeModel,Structurer,Missing Hierarchy; 
com.eteks.sweethome3d.swing.FurnitureCatalogTree$CatalogTreeModel$CatalogFurnitureListener,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.FurnitureTable,Interfacer,Unexploited Encapsulation; Missing Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.FurnitureTable$UserPreferencesChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.FurnitureTable$RunnableContext,#N/A,Unnecessary Abstraction; 
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTableColumnModel,Information Holder,Insufficient Modularization; 
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTableColumnModel$LanguageChangeListener,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTableColumnModel$SizeRenderer,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTableColumnModel$PriceRenderer,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTableColumnModel$BooleanRenderer,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.FurnitureTable$TreeTableNameCellRenderer,Service Provider,Unutilized Abstraction; Unexploited Encapsulation; Missing Hierarchy; 
com.eteks.sweethome3d.swing.FurnitureTable$FurnitureTreeTableModel,Structurer,Unexploited Encapsulation; Missing Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.HelpPane,Interfacer,Insufficient Modularization; 
com.eteks.sweethome3d.swing.HelpPane$ActionType,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HelpPane$LanguageChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.Home3DAttributesPanel,Interfacer,Unutilized Abstraction; 
