roleStereotype,metric,q1,q2,q3,mean
Interfacer,innerClassesQty,0.0,1.0,2.0,1.3968253968253967
Interfacer,lambdasQty,0.0,0.0,0.0,0.0
Interfacer,uniqueWordsQty,78.0,115.0,202.0,155.96825396825398
Interfacer,ratio_publicMethods,0.2596153846153846,0.4,0.75,0.5051987658021361
Interfacer,ratio_privateMethods,0.11805555555555555,0.5657142857142857,0.7100840336134454,0.4475217329169394
Interfacer,ratio_publicFields,0.0,0.0,0.0,0.026234567901234566
Interfacer,ratio_privateFields,1.0,1.0,1.0,0.9737654320987653
Service Provider,cbo,1.5,3.0,7.0,6.591194968553459
Service Provider,cboModified,2.0,5.0,15.5,12.735849056603774
Service Provider,fanin,0.0,0.0,4.5,6.144654088050315
Service Provider,fanout,1.5,3.0,7.0,6.591194968553459
Service Provider,wmc,3.0,5.0,19.5,20.471698113207548
Service Provider,dit,1.0,1.0,2.5,1.9119496855345912
Service Provider,noc,0.0,0.0,0.0,0.09433962264150944
Service Provider,rfc,1.0,6.0,18.0,18.540880503144653
Service Provider,lcom*,0.0,0.0,0.6,0.25480729742138364
Service Provider,tcc,0.0,0.33333334,1.0,0.43097970467716534
Service Provider,lcc,0.0,0.33333334,1.0,0.4580986361732283
Service Provider,totalMethodsQty,2.0,2.0,5.5,5.710691823899371
Service Provider,publicMethodsQty,1.0,2.0,3.5,3.8867924528301887
Service Provider,privateMethodsQty,0.0,0.0,1.0,1.3584905660377358
Service Provider,abstractMethodsQty,0.0,0.0,0.0,0.5031446540880503
Service Provider,finalMethodsQty,0.0,0.0,0.0,0.031446540880503145
Service Provider,totalFieldsQty,0.0,1.0,3.0,2.0440251572327046
Service Provider,publicFieldsQty,0.0,0.0,0.0,0.06289308176100629
Service Provider,privateFieldsQty,0.0,1.0,3.0,1.9811320754716981
Service Provider,finalFieldsQty,0.0,0.0,1.0,1.050314465408805
Service Provider,nosi,0.0,0.0,3.0,5.0754716981132075
Service Provider,loc,12.0,21.0,82.5,104.20125786163523
Service Provider,returnQty,0.0,1.0,3.5,3.238993710691824
Service Provider,loopQty,0.0,0.0,1.0,2.006289308176101
Service Provider,comparisonsQty,0.0,1.0,4.0,5.817610062893082
Service Provider,tryCatchQty,0.0,0.0,1.0,0.9559748427672956
Service Provider,parenthesizedExpsQty,0.0,0.0,1.0,4.0
Service Provider,stringLiteralsQty,0.0,0.0,2.0,16.37735849056604
Service Provider,numbersQty,0.0,0.0,4.0,23.32704402515723
Service Provider,assignmentsQty,0.0,2.0,13.0,18.82389937106918
Service Provider,mathOperationsQty,0.0,0.0,2.0,7.748427672955975
Service Provider,variablesQty,0.0,2.0,10.0,13.924528301886792
Service Provider,maxNestedBlocksQty,0.0,1.0,3.0,1.8364779874213837
Service Provider,anonymousClassesQty,0.0,0.0,0.0,0.5283018867924528
Service Provider,innerClassesQty,0.0,0.0,0.0,0.3333333333333333
Service Provider,lambdasQty,0.0,0.0,0.0,0.0
Service Provider,uniqueWordsQty,27.0,36.0,68.0,68.0125786163522
Service Provider,ratio_publicMethods,0.6666666666666666,1.0,1.0,0.8122752006189662
Service Provider,ratio_privateMethods,0.0,0.0,0.09307359307359307,0.10332975262048086
Service Provider,ratio_publicFields,0.0,0.0,0.0,0.014285714285714285
Service Provider,ratio_privateFields,1.0,1.0,1.0,0.9857142857142857
Structurer,cbo,3.0,5.0,9.5,7.473684210526316
Structurer,cboModified,5.0,11.5,27.0,26.5
Structurer,fanin,0.0,4.5,18.0,19.026315789473685
Structurer,fanout,3.0,5.0,9.5,7.473684210526316
Structurer,wmc,7.0,13.0,52.5,44.31578947368421
Structurer,dit,1.0,2.0,2.0,1.894736842105263
Structurer,noc,0.0,0.0,0.0,0.631578947368421
Structurer,rfc,7.0,14.0,43.0,38.76315789473684
Structurer,lcom*,0.3875,0.6742424499999999,0.8600733,0.5870483626315789
Structurer,tcc,0.08628098249999999,0.179166665,0.6363636,0.354382071736842
Structurer,lcc,0.14242425,0.30384616,1.0,0.4713004304210526
Structurer,totalMethodsQty,4.5,9.5,15.5,17.57894736842105
Structurer,publicMethodsQty,4.0,7.0,9.5,13.578947368421053
Structurer,privateMethodsQty,0.0,0.5,3.5,2.736842105263158
Structurer,abstractMethodsQty,0.0,0.0,0.0,0.15789473684210525
Structurer,finalMethodsQty,0.0,0.0,0.0,0.0
Structurer,totalFieldsQty,2.0,3.0,7.0,9.710526315789474
Structurer,publicFieldsQty,0.0,0.0,0.0,0.15789473684210525
Structurer,privateFieldsQty,1.0,2.5,6.5,9.289473684210526
Structurer,finalFieldsQty,0.0,1.0,3.5,5.394736842105263
Structurer,nosi,0.0,2.0,5.5,8.157894736842104
Structurer,loc,33.0,65.5,247.0,211.81578947368422
Structurer,returnQty,2.0,5.0,14.0,12.657894736842104
Structurer,loopQty,0.0,0.0,4.0,4.631578947368421
Structurer,comparisonsQty,1.0,2.0,13.0,11.526315789473685
Structurer,tryCatchQty,0.0,0.0,1.5,2.3947368421052633
Structurer,parenthesizedExpsQty,0.0,0.0,2.5,4.368421052631579
Structurer,stringLiteralsQty,0.0,1.0,4.0,9.81578947368421
Structurer,numbersQty,0.5,3.0,7.5,15.368421052631579
Structurer,assignmentsQty,3.0,8.0,36.0,36.078947368421055
Structurer,mathOperationsQty,0.0,1.0,3.5,12.447368421052632
Structurer,variablesQty,3.0,5.0,30.0,27.36842105263158
Structurer,maxNestedBlocksQty,1.0,2.0,3.0,2.5
Structurer,anonymousClassesQty,0.0,0.0,1.5,1.894736842105263
Structurer,innerClassesQty,0.0,0.0,1.0,0.3684210526315789
Structurer,lambdasQty,0.0,0.0,0.0,0.0
Structurer,uniqueWordsQty,41.0,64.5,157.0,120.39473684210526
Structurer,ratio_publicMethods,0.7846153846153847,0.8452380952380952,1.0,0.7872837651896072
Structurer,ratio_privateMethods,0.0,0.029411764705882353,0.1846590909090909,0.11769559594048085
Structurer,ratio_publicFields,0.0,0.0,0.0,0.02915030415030415
Structurer,ratio_privateFields,1.0,1.0,1.0,0.9245533995533997
