,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,label,project
14048,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/database/RecipientDatabase.java,org.thoughtcrime.securesms.database.RecipientDatabase$RecipientSettings,innerclass,16,16,0,16,38,1,0,2,594,0.94594586,0.054054055,1.0,37,0,36,0,0,1,37,0,0,0,36,0,0,36,0,0,36,0,0,184,36,0,1,0,0,0,1,36,0,36,0,0,0,0,85,9,0,Interfacer,Signal-Android-4.60.5
14049,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/groups/ui/pendingmemberinvites/PendingMemberRepository.java,org.thoughtcrime.securesms.groups.ui.pendingmemberinvites.PendingMemberRepository$SinglePendingMemberInvitedByYou,innerclass,3,3,0,3,3,1,0,0,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,14,25,0,Service Provider,Signal-Android-4.60.5
14050,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/groups/ui/GroupMemberEntry.java,org.thoughtcrime.securesms.groups.ui.GroupMemberEntry$UnknownPendingMemberCount,innerclass,7,7,0,7,12,2,0,8,0,0.41666666,0.71428573,1.0,8,0,7,0,0,1,8,0,0,0,3,0,0,3,0,0,3,0,0,38,9,0,2,0,3,0,4,8,1,5,1,0,0,0,28,25,0,Service Provider,Signal-Android-4.60.5
14051,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/components/emoji/MediaKeyboardProvider.java,org.thoughtcrime.securesms.components.emoji.MediaKeyboardProvider$Presenter,interface,8,8,0,8,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,Service Provider,Signal-Android-4.60.5
14052,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/reactions/any/ReactWithAnyEmojiBottomSheetDialogFragment.java,org.thoughtcrime.securesms.reactions.any.ReactWithAnyEmojiBottomSheetDialogFragment$OnPageChanged,innerclass,2,2,0,2,1,2,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,Interfacer,Signal-Android-4.60.5
14053,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/util/livedata/LiveDataTriple.java,org.thoughtcrime.securesms.util.livedata.LiveDataTriple,class,8,9,1,8,17,2,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0,99,0,0,15,0,0,0,0,18,0,13,3,0,0,10,16,17,0,Information Holder,Signal-Android-4.60.5
14054,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/database/ApnDatabase.java,org.thoughtcrime.securesms.database.ApnDatabase,class,7,9,2,7,20,1,0,36,0,0.8799999,0.33333334,0.33333334,5,1,3,2,0,0,3,0,0,1,30,28,0,30,0,0,29,0,1,94,7,0,7,2,0,38,0,45,7,41,3,0,0,0,70,1,0,Service Provider,Signal-Android-4.60.5
14055,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/contactshare/Contact.java,org.thoughtcrime.securesms.contactshare.Contact$Phone$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,Service Provider,Signal-Android-4.60.5
14056,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/notifications/DoNotDisturbUtil.java,org.thoughtcrime.securesms.notifications.DoNotDisturbUtil,class,8,9,1,8,26,1,0,22,13,0.6666667,,,6,5,1,5,0,0,1,0,0,0,1,1,0,1,0,0,1,0,10,59,17,0,4,1,2,2,7,6,2,6,1,0,0,0,38,17,0,Service Provider,Signal-Android-4.60.5
14057,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/glide/ContactPhotoFetcher.java,org.thoughtcrime.securesms.glide.ContactPhotoFetcher,class,7,8,1,7,10,1,0,5,11,0.6666667,0.13333334,0.2,6,0,5,0,0,1,6,0,0,0,3,0,0,3,0,0,2,0,0,36,2,0,1,2,0,0,0,3,0,3,2,0,0,0,26,0,0,Service Provider,Signal-Android-4.60.5
14058,Signal-Android-4.60.5/app/src/main/java/org/thoughtcrime/securesms/insights/InsightsInsecureRecipientsAdapter.java,org.thoughtcrime.securesms.insights.InsightsInsecureRecipientsAdapter$DiffCallback,innerclass,3,3,0,3,6,2,0,4,0,0.2,0.8333333,1.0,5,0,4,1,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,20,4,0,1,0,0,0,0,2,0,2,0,0,0,0,17,10,0,Service Provider,Signal-Android-4.60.5
